Fz,C3,Cz,C4,Pz,Po7,Oz,Po8,Inst
-17.840490791166275,-18.342830286263883,-16.54383132871505,-11.603047001188562,-13.443790197698807,-9.732656914575164,-13.024754247910852,-7.885359854017494,g
-15.249191266840914,-17.344090418882033,-15.422998869983058,-10.870349892135135,-12.845804206450921,-9.118556294596228,-12.467060541407193,-8.212106305599287,g
-12.409948839255618,-16.13411024521048,-14.029929004130853,-9.97279771121526,-12.247100004452257,-8.569946381318905,-11.951311394973752,-8.361911030363256,g
-9.568427778034891,-14.72736446823365,-12.409007337541869,-8.837053986181052,-11.575269569238404,-7.885222881410731,-11.362932026060058,-8.193777887708379,g
-6.8617713835778975,-13.17757533527624,-10.644803320051722,-7.390187112796395,-10.771028106397024,-7.007053379144017,-10.604049134939004,-7.58208761659842,g
-4.334098394380524,-11.489898747639735,-8.829010601802555,-5.625705788208042,-9.769391691223495,-5.970717981152722,-9.597166647556753,-6.453471555052019,g
-0.16520883570004943,-7.55645398282452,-5.397733701320648,-1.6443307279921526,-7.018361308501698,-3.541380136896558,-6.7677226116609095,-2.9289472103768888,g
0.9662781256246212,-5.531231069292807,-4.056208911788566,0.10144344913553675,-5.416932309100744,-2.1626288251729937,-5.136758310009698,-0.9445788504074996,g
1.004278404227265,-3.9888154942538576,-3.2602694482903503,1.3079109803269127,-3.9842869705001873,-0.7876224649584882,-3.6779710919337325,0.8529530862352864,g
1.0042784042272648,-3.9888154942538576,-3.2602694482903503,1.307910980326913,-3.9842869705001873,-0.7876224649584881,-3.677971091933732,0.8529530862352861,g
-0.20666202874103262,-3.458311367687201,-3.2287349725578594,1.7529330273378492,-3.0506287359760043,0.32299647271823195,-2.708355095180333,2.220275589604024,g
-2.470898344295061,-4.247554754439141,-4.012509907636952,1.3810696784258396,-2.84690818637566,0.840408005207229,-2.4570177749533397,2.9602790519323845,g
-5.271260438628351,-6.194703538014298,-5.40256894328851,0.36434216408728837,-3.3684605571469532,0.5665164697457536,-2.928563583213832,3.0161882053973343,g
-7.991990549918526,-8.69090155945854,-6.997086636041014,-0.956323612016799,-4.377041670047687,-0.42086267257979665,-3.8957046734878977,2.5337274076307326,g
-10.201807864119065,-11.026539301117127,-8.417120500018004,-2.245130317562334,-5.561935940145759,-1.8282356135541238,-5.0551981022911505,1.7831958219668114,g
-11.817776746133251,-12.83296939360164,-9.527375789548412,-3.349115082339586,-6.738001247955543,-3.3634301175630283,-6.224360281708809,0.9926600619630606,g
-13.048107977251362,-14.261258577146823,-10.488069327969042,-4.344871806744401,-7.922387650382296,-4.910382779776132,-7.4158520026482195,0.2448174295217025,g
-14.15786783542138,-15.731161335693276,-11.579583708427533,-5.410977324242867,-9.23818635829563,-6.524023737683469,-8.74419961183499,-0.5019460282290359,g
-15.222918668827512,-17.45103567749174,-12.923101436139962,-6.616080760685831,-10.730867498519505,-8.27686971229992,-10.251901169358554,-1.3262861155742691,g
-16.049204583548487,-19.120017374361566,-14.319764618093227,-7.7866771525690455,-12.240336854390684,-10.090854533455639,-11.785855670811458,-2.246350477280302,g
-16.310566335303257,-20.083148705305582,-15.349284632008628,-8.569299510524113,-13.427369745905697,-11.68324816016851,-13.014528374910578,-3.1416868446283095,g
-15.783864860490672,-19.83014206644418,-15.65615240582817,-8.649670041872366,-13.943761166254538,-12.680889806694669,-13.587582683279953,-3.7605103881053608,g
-14.491830263675988,-18.42647752862502,-15.192010711380494,-7.958244691317122,-13.626270286492446,-12.834674542222292,-13.333320253041231,-3.8614672094741955,g
-12.668605188540548,-16.508701575411934,-14.229054546669698,-6.708761201715548,-12.574488372139895,-12.168280439906571,-12.347425968079003,-3.402710864422022,g
-10.622967763616852,-14.844727223287364,-13.163736069224802,-5.269659871965259,-11.07374577371706,-10.939596064415536,-10.917022741618279,-2.608636894377936,g
-8.622745178414354,-13.831429447791129,-12.288976516989198,-3.994136988953683,-9.448743918318737,-9.46658969722589,-9.36611478337162,-1.8571298443625295,g
-6.846621263926231,-13.33270331288541,-11.692633659064356,-3.115534712307664,-7.9542579277211845,-7.9811335097565514,-7.943359430836748,-1.4913234951604557,g
-5.37471301970126,-12.936685660846507,-11.30383314282474,-2.715734626520915,-6.733284574559673,-6.602472273882389,-6.785498776069669,-1.67274352426447,g
-4.196311071999399,-12.359718800833095,-11.006192058505047,-2.730684467004412,-5.818731004876385,-5.38624660717897,-5.92204316508677,-2.316881459092511,g
-3.2454823824975243,-11.656962344658124,-10.729699196258142,-2.989163488096266,-5.1693848839592365,-4.376866480687264,-5.309448920503171,-3.1394335543638636,g
-2.459660617297594,-11.109338188552691,-10.477696515576122,-3.2981008225548303,-4.740429950677492,-3.6468336225494964,-4.9028495705302415,-3.8365110369140965,g
-1.8183365455201446,-10.916212348266296,-10.290972498787925,-3.544770081927794,-4.547241371016782,-3.316714177487222,-4.722980618771965,-4.304899010977827,g
-1.3263584451903951,-10.951320410212464,-10.183473066881207,-3.7433899413317753,-4.65725045173862,-3.518453386652341,-4.843064121869807,-4.701167975902985,g
-0.959464887817964,-10.787958974459546,-10.096722617021616,-3.979720822519804,-5.102283975369529,-4.297947135277857,-5.291240629723878,-5.255436953366331,g
-0.6272747386365288,-9.995302824661405,-9.9018814419584,-4.286885347131867,-5.784647137391246,-5.532442999864772,-5.958717308566632,-6.008409681429212,g
-0.19302323976878108,-8.466498964639573,-9.440883729932164,-4.546186733440111,-6.456004402007548,-6.935999698986963,-6.5947700320302,-6.71348485052423,g
0.4608678863533508,-6.4781178812271705,-8.575587941120984,-4.497234465271715,-6.78386025117774,-8.137591313739374,-6.882052668782123,-6.964045626969442,g
1.3733758315357958,-4.415719790329387,-7.222464409594062,-3.867115180392415,-6.467391829647978,-8.777180385195178,-6.539772310547059,-6.421509797891628,g
2.503006779148092,-2.424930318400171,-5.368762580209269,-2.5375742200435942,-5.350586326687593,-8.605707633381288,-5.417335113629641,-5.003825069756175,g
3.786428420646179,-0.31261323204495994,-3.072607509974136,-0.6308572951530333,-3.4778020340084366,-7.576396560474447,-3.5456645064304446,-2.9488651992677437,g
5.199256618020846,2.230526149316426,-0.45182075430505597,1.5488810176869574,-1.0542294426022727,-5.857462681821367,-1.1099486789857025,-0.7046278600519511,g
6.752199781175074,5.297050419900408,2.3281083379366243,3.669955862523743,1.661765743351258,-3.719052792307474,1.6426805346525266,1.3102450228528812,g
8.427383427511973,8.59462165933895,5.065648035411486,5.509932717075642,4.449391622560877,-1.37461236409728,4.483828480923476,2.9015920276447678,g
10.140068759881029,11.584835946499883,7.557826539081548,7.001197301218814,7.146913245985199,1.0911149607708885,7.224538547459945,4.096739852567481,g
11.793404489601661,13.859448051121106,9.674220208470716,8.198375295085567,9.638101981046551,3.6829389576517557,9.71677035926471,4.99564254309599,g
13.3791669099318,15.478226058172115,11.426324098266733,9.217087352748347,11.853548501607094,6.421341048572593,11.881506453981022,5.659734079821063,g
15.0004577807483,16.94851811504591,12.948736704423391,10.16777602879979,13.770389416072366,9.275443875474888,13.722613774832563,6.110531155091277,g
16.761881847791386,18.79395588004794,14.374100960231086,11.090793333407479,15.371828330884734,12.093667757553295,15.267788161646058,6.354632600471497,g
18.622763214944236,21.06783852041179,15.703831863521847,11.92302716832594,16.59774172524922,14.5765194017091,16.482677055488583,6.382269546617952,g
20.36610785272145,20.40388082966015,16.80278862389887,12.538047328513096,17.36122952669178,16.375357656760976,17.26920990496234,6.192042733252885,g
21.72629712235723,21.89973581430508,17.52821303246235,12.850950525880984,17.63496313172289,17.28898633478574,17.566942941045554,5.856955534003621,g
22.55720203420355,22.429532667625367,17.8666159037058,12.90774644226966,17.5168404424051,17.390280291668386,17.448046302018447,5.539565529039196,g
22.802165058286455,21.97117293352614,17.90743076421704,12.910287267736512,16.837236595006786,16.257006571150306,16.717331660186282,5.493562785408501,g
22.352989872167235,21.7994200948608,17.77789627844276,13.039996448650532,16.475256217723633,15.370733342061333,16.35874799002746,5.722884722415605,g
21.50201490428355,21.593833105133275,17.442557391961465,13.098179822605108,15.99663961640503,14.145748721914085,15.920573234666033,5.901570948527961,g
21.50201490428355,21.593833105133275,17.442557391961465,13.098179822605108,15.996639616405028,14.145748721914092,15.920573234666037,5.901570948527961,g
20.249282836267547,20.916466143033798,16.77305126896296,12.838033645379682,15.235541283463965,12.339274801529976,15.209878703122204,5.814025489996476,g
18.733645046999847,19.4934164228047,15.774091584749476,12.109425255130256,14.123042590617832,9.861180668983614,14.11272596601393,5.302191715137193,g
17.201014929552628,17.501447938810596,14.610045909949616,10.975296779274835,12.776372302587363,6.9618245663830916,12.720787952172662,4.353574561054357,g
15.838878784904688,18.322016457752998,13.479826535345245,9.671452227264723,11.446929408031062,4.197301913887452,11.302090983708894,3.1202117879048665,g
14.617756177740654,16.664607906837315,12.457945495277636,8.44627939856826,10.368100454954192,2.1663445243697916,10.135730621378729,1.8347583264648226,g
13.286235943234573,15.44737475605613,11.450488738705392,7.411567407321097,9.633461429943189,1.2150602429790087,9.356640795040956,0.7085985392516057,g
11.538786888922527,14.34948962696846,10.300175184740466,6.51105706029727,9.19149403122925,1.320808084098299,8.926144538571155,-0.09846561013646671,g
9.23284646921456,12.990984666827828,8.93810375147432,5.608182572406152,8.926373487994613,2.1864501045036353,8.710754328593488,-0.4733588086157884,g
6.495807442820109,11.245315990589038,7.45374507198544,4.611282957164585,8.743788998738662,3.4274869899821105,8.583797363753767,-0.3857266620147431,g
3.6566618251110503,9.330803442730623,6.043969154797994,3.5491420422199935,8.619385025001453,4.742662524550483,8.498267052951835,0.07416668882440125,g
1.0739319208223133,7.667631316140776,4.903216999407853,2.562041417817937,8.605726728323285,6.012372940929802,8.512104574038041,0.7509109727580229,g
-1.0054189194014462,6.624030965745102,4.142223848538549,1.8332045009722404,8.792317233573122,7.275097321464874,8.742325742888346,1.5453566649725459,g
-2.4736752576343646,6.302707325046326,3.774579655056592,1.5121535926262986,9.2243339298976,8.573066939116087,9.253603136411492,2.4650372539180094,g
-3.297818481346551,6.4948265425136045,3.752031001529994,1.6647247799883906,9.830737427815825,9.783328170166488,9.960496055360831,3.5498342982773727,g
-3.4437483383781755,6.845605745181311,4.00960798565269,2.253076705814204,10.42944632307807,10.60999957603663,10.639407916817117,4.766612619154613,g
-2.8550715573665526,7.122723004298076,4.49661387408104,3.141921912788548,10.82326749075629,10.778326328154188,11.05755378322858,5.9750305260446,g
-1.501310990913276,7.374785917679257,5.186489475789406,4.140275662683836,10.923507026561214,10.26981265983824,11.12324158015169,6.9750840542345784,g
0.5343020109844187,7.847890827086154,6.062153915951972,5.078477413239633,10.811172484711795,9.396883576568145,10.946505742749974,7.603469693337088,g
2.9859880400861,8.736042367738655,7.078192841805844,5.878819230888623,10.68346047433797,8.655520873414266,10.763792977678463,7.839181378226631,g
5.4189388629338975,9.9714748536236,8.12088280138484,6.558927696769217,10.707729337643233,8.452764058288988,10.765756020736125,7.83862596948332,g
7.3495558299033465,11.210092598504131,9.005004562938785,7.155152312977103,10.880136176616121,8.878298245487882,10.940230656553872,7.82943806531689,g
8.421619867521178,12.014044708570765,9.530711879599771,7.629389735797389,11.005559757296979,9.671950300193568,11.05911735776387,7.9308354555244645,g
8.533770011359392,12.100278605588562,9.573197025372878,7.842975379144522,10.83091369940749,10.421421709583631,10.840909161117745,8.078493223570709,g
7.837440330127331,11.481315393518404,9.139931984075623,7.623127481454345,10.226602722324525,10.841130418236084,10.159732121181474,8.123455980832215,g
6.615527814920748,10.406824427757218,8.35292057747356,6.87369001432055,9.263529481662431,10.90298843759843,9.119564984131685,7.974036742953551,g
5.137402084362628,9.185914058143958,7.382031944091106,5.657212384763076,8.1400507762992,10.739895874363903,7.950428303111575,7.637122140963385,g
3.595771517757126,8.073094030955435,6.398611817484605,4.203470416947545,7.056349440816527,10.471533687743582,6.858006716335313,7.179724659707051,g
2.15436526401721,7.295580062142181,5.584791426812454,2.8455972080666463,6.153310668135582,10.136202031147448,5.967287664361832,6.7049669159973915,g
1.0282947103715272,7.091435846143296,5.154633817972293,1.9174482180786192,5.529392229999088,9.737206576004382,5.36071896533724,6.3432749954728695,g
0.47615799413676535,7.597693688531242,5.309981525007819,1.6510040111630206,5.263054451920995,9.28489004069838,5.11281179872634,6.203027328201864,g
0.6667270821169643,8.652445056583156,6.12181606453252,2.1010646400790085,5.389994272945622,8.78105709494222,5.2642201075481845,6.302855912441472,g
1.5340810563265228,9.773504103725195,7.43811950672845,3.121627091377582,5.86288151735404,8.20732749611046,5.772933757639118,6.562589125467632,g
2.7891944385974745,10.458883521103747,8.940472165216784,4.423665497318049,6.559040545803327,7.573950770502189,6.514985305749358,6.862119380213002,g
4.120899489116104,10.614262338972226,10.347752211660355,5.716838766062226,7.362185718332471,6.998855244775993,7.363689899717824,7.111545795507586,g
5.417248991970686,10.71896342618614,11.605315175824419,6.863768988703997,8.262979660765792,6.738798061564104,8.296511863750002,7.301556516574533,g
6.793733989855292,11.510587213240427,12.877774615645652,7.927158247745382,9.373650415722793,7.111470907753113,9.42171565993381,7.52404716723333,g
8.391665327358686,13.366998497376951,14.329796616274965,9.052645463541223,10.803056793326423,8.30926771593022,10.856523332258405,7.919845458373959,g
10.132673425358238,15.871136048518423,15.883302608216042,10.272251219371952,12.476477443688635,10.21035727155589,12.534369098211446,8.542980710150612,g
11.664309673477607,17.983029306464204,17.180930663944704,11.396312290700674,14.076742282647942,12.366054247657761,14.133662740048408,9.257371062124143,g
12.564065676615666,18.777857051115426,17.811324315173714,12.095530889377011,15.1999955761939,14.243355632903157,15.238916397850124,9.804722360713566,g
12.636067200525007,18.172475050996443,17.61105209572813,12.114243446435587,15.611895407150252,15.552597802215463,15.612681878259005,10.000250268631447,g
